,pT1,pT2,pT3,pT4
0,84.25,41.375,18.625,14.75
1,57.625,23.3125,26.125,21.25
2,33.5,26.375,24.25,21.5625
3,47.75,35.625,32.375,14.78125
4,65.25,15.0625,7.265625,2.84375
5,77.5,21.1875,26.9375,26.5625
6,147.0,104.5,53.375,19.5625
7,81.25,19.4375,22.6875,7.828125
8,83.75,24.875,27.5625,9.6875
9,59.25,41.5,21.25,6.9375
10,63.25,13.875,18.375,12.6875
11,83.5,30.0625,33.75,7.96875
12,53.5,18.4375,53.25,18.1875
13,31.1875,7.6875,28.875,0.4892578125
14,79.0,27.9375,24.4375,19.125
15,51.625,34.125,14.15625,4.453125
16,98.75,16.625,8.4375,4.140625
17,44.875,11.34375,29.25,12.5
18,45.5,34.375,25.5,11.09375
19,44.25,12.84375,23.625,18.0
20,68.5,15.53125,15.09375,12.09375
21,59.75,28.1875,32.5,13.84375
22,70.75,40.625,32.75,27.625
23,39.25,11.84375,10.78125,4.5
24,68.75,21.0625,30.0,8.90625
25,31.4375,8.0625,29.625,11.71875
26,35.0,12.1875,56.625,7.171875
27,29.75,26.5625,10.96875,9.625
28,63.0,62.625,27.5625,15.28125
29,69.5,10.84375,30.0,13.40625
30,56.5,29.5,16.375,11.21875
31,48.5,33.0,29.4375,22.75
32,50.875,45.125,28.375,24.875
33,44.625,31.5,40.375,6.9375
34,98.0,19.6875,78.25,12.90625
35,13.6875,2.1484375,43.25,20.0
36,25.3125,14.46875,13.5,10.125
37,53.625,21.25,35.0,17.8125
38,52.5,8.46875,36.75,17.1875
39,47.5,38.875,28.8125,13.46875
40,50.25,38.5,65.25,9.375
41,58.0,17.1875,36.75,8.3125
42,29.875,26.3125,47.875,39.25
43,39.875,17.9375,25.8125,8.75
44,51.625,4.015625,43.375,7.375
45,48.25,17.8125,8.03125,5.453125
46,52.5,1.6796875,26.8125,9.25
47,41.0,39.625,30.6875,24.4375
48,70.0,20.375,22.375,11.25
49,72.0,27.6875,27.5625,16.1875
50,55.75,34.5,42.875,2.1875
51,163.5,38.25,107.0,68.75
52,68.0,42.125,29.0625,12.71875
53,4.640625,1.2578125,56.0,14.625
54,44.375,21.3125,22.625,13.75
55,47.25,21.25,19.8125,7.4375
56,53.875,48.75,26.3125,16.75
57,42.25,33.25,19.1875,8.5
58,49.0,39.375,32.875,13.625
59,63.375,30.375,24.0,15.65625
60,41.0,6.1875,40.25,10.875
61,31.0625,26.375,26.125,18.3125
62,37.875,32.625,32.125,20.9375
63,66.75,48.0,24.0,6.8125
64,41.625,15.8125,46.375,18.3125
65,61.375,42.0,17.5625,6.796875
66,27.3125,16.0625,22.75,5.15625
67,34.875,18.125,11.96875,9.9375
68,93.5,26.875,42.375,7.84375
69,49.875,31.375,29.25,8.71875
70,32.875,31.0625,27.6875,5.546875
71,46.0,21.0625,36.75,5.546875
72,47.75,16.5625,34.25,4.40625
73,76.25,22.875,73.75,53.625
74,38.375,18.0625,16.3125,8.03125
75,54.5,24.625,13.96875,3.8125
76,45.75,37.125,22.75,21.125
77,64.25,24.125,9.84375,5.40625
78,32.625,26.625,39.75,5.703125
79,39.0,30.8125,34.875,28.9375
80,57.625,41.875,28.5625,22.8125
81,40.625,35.0,27.6875,14.59375
82,91.25,55.5,28.8125,16.1875
83,45.0,24.375,45.75,6.875
84,24.3125,18.1875,26.5,21.5
85,59.25,33.125,15.0625,15.0
86,83.25,35.875,36.375,2.65625
87,63.25,25.625,17.125,15.46875
88,53.5,34.75,16.75,15.09375
89,51.875,22.125,18.3125,17.1875
90,58.25,5.421875,25.5,7.703125
91,92.75,32.25,14.84375,14.59375
92,65.75,23.375,34.125,7.953125
93,66.0,19.375,40.375,17.75
94,39.75,31.4375,19.125,15.09375
95,64.5,35.25,50.25,5.28125
96,42.375,41.0,41.5,10.34375
97,105.25,57.0,57.25,3.984375
98,95.75,16.4375,36.875,18.25
99,38.875,20.125,52.875,9.53125
100,41.5,28.25,37.25,21.125
101,52.875,30.25,37.625,15.6875
102,34.625,15.21875,30.6875,16.1875
103,84.25,22.3125,19.0,18.0625
104,32.375,29.5,20.4375,9.09375
105,22.375,8.03125,46.875,6.65625
106,46.625,34.0,27.375,14.6875
107,28.5,15.59375,33.375,12.21875
108,96.25,12.53125,41.375,7.640625
109,53.875,38.875,37.625,4.265625
110,44.875,29.3125,26.9375,15.28125
